input,calculate_claim_value,low_value_claims,high_value_claims,simple_claims,complex_claims,calculate_simple_claim_payout,calculate_complex_claim_payout,output
77770.0,81658.5,0.0,1.0,0.0,0,0.0,46662.0,46662.0
52110.0,54715.5,1.0,0.0,1.0,0,41688.0,0.0,41688.0
79090.0,83044.5,0.0,1.0,0.0,0,0.0,47454.0,47454.0
64680.0,67914.0,0.0,1.0,0.0,0,0.0,38808.0,38808.0
5400.0,5670.0,1.0,0.0,1.0,0,4320.0,0.0,4320.0
63100.0,66255.0,0.0,1.0,0.0,0,0.0,37860.0,37860.0
79530.0,83506.5,0.0,1.0,0.0,0,0.0,47718.0,47718.0
47300.0,49665.0,1.0,0.0,1.0,0,37840.0,0.0,37840.0
66950.0,70297.5,0.0,1.0,0.0,0,0.0,40170.0,40170.0
65100.0,68355.0,0.0,1.0,0.0,0,0.0,39060.0,39060.0
54890.0,57634.5,1.0,0.0,1.0,0,43912.0,0.0,43912.0
3200.0,3360.0,1.0,0.0,1.0,0,2560.0,0.0,2560.0
3840.0,4032.0,1.0,0.0,1.0,0,3072.0,0.0,3072.0
61650.0,64732.5,0.0,1.0,0.0,0,0.0,36990.0,36990.0
5170.0,5428.5,1.0,0.0,1.0,0,4136.0,0.0,4136.0
2640.0,2772.0,1.0,0.0,1.0,0,2112.0,0.0,2112.0
4950.0,5197.5,1.0,0.0,1.0,0,3960.0,0.0,3960.0
55000.0,57750.0,1.0,0.0,1.0,0,44000.0,0.0,44000.0
91080.0,95634.0,0.0,1.0,0.0,0,0.0,54648.0,54648.0
100210.0,105220.5,0.0,1.0,0.0,0,0.0,60126.0,60126.0
5070.0,5323.5,1.0,0.0,1.0,0,4056.0,0.0,4056.0
75690.0,79474.5,0.0,1.0,0.0,0,0.0,45414.0,45414.0
61490.0,64564.5,0.0,1.0,0.0,0,0.0,36894.0,36894.0
6930.0,7276.5,1.0,0.0,1.0,0,5544.0,0.0,5544.0
6120.0,6426.0,1.0,0.0,1.0,0,4896.0,0.0,4896.0
4950.0,5197.5,1.0,0.0,1.0,0,3960.0,0.0,3960.0
75500.0,79275.0,0.0,1.0,0.0,0,0.0,45300.0,45300.0
77100.0,80955.0,0.0,1.0,0.0,0,0.0,46260.0,46260.0
68000.0,71400.0,0.0,1.0,0.0,0,0.0,40800.0,40800.0
55400.0,58170.0,1.0,0.0,1.0,0,44320.0,0.0,44320.0
4730.0,4966.5,1.0,0.0,1.0,0,3784.0,0.0,3784.0
47630.0,50011.5,1.0,0.0,1.0,0,38104.0,0.0,38104.0
64900.0,68145.0,0.0,1.0,0.0,0,0.0,38940.0,38940.0
62880.0,66024.0,0.0,1.0,0.0,0,0.0,37728.0,37728.0
48950.0,51397.5,1.0,0.0,1.0,0,39160.0,0.0,39160.0
95150.0,99907.5,0.0,1.0,0.0,0,0.0,57090.0,57090.0
44880.0,47124.0,1.0,0.0,1.0,0,35904.0,0.0,35904.0
67140.0,70497.0,0.0,1.0,0.0,0,0.0,40284.0,40284.0
67600.0,70980.0,0.0,1.0,0.0,0,0.0,40560.0,40560.0
56400.0,59220.0,1.0,0.0,1.0,0,45120.0,0.0,45120.0
61700.0,64785.0,0.0,1.0,0.0,0,0.0,37020.0,37020.0
88110.0,92515.5,0.0,1.0,0.0,0,0.0,52866.0,52866.0
61500.0,64575.0,0.0,1.0,0.0,0,0.0,36900.0,36900.0
70600.0,74130.0,0.0,1.0,0.0,0,0.0,42360.0,42360.0
84720.0,88956.0,0.0,1.0,0.0,0,0.0,50832.0,50832.0
63400.0,66570.0,0.0,1.0,0.0,0,0.0,38040.0,38040.0
57700.0,60585.0,0.0,1.0,0.0,0,0.0,34620.0,34620.0
87780.0,92169.0,0.0,1.0,0.0,0,0.0,52668.0,52668.0
81800.0,85890.0,0.0,1.0,0.0,0,0.0,49080.0,49080.0
50380.0,52899.0,1.0,0.0,1.0,0,40304.0,0.0,40304.0
36300.0,38115.0,1.0,0.0,1.0,0,29040.0,0.0,29040.0
76920.0,80766.0,0.0,1.0,0.0,0,0.0,46152.0,46152.0
44240.0,46452.0,1.0,0.0,1.0,0,35392.0,0.0,35392.0
6160.0,6468.0,1.0,0.0,1.0,0,4928.0,0.0,4928.0
69400.0,72870.0,0.0,1.0,0.0,0,0.0,41640.0,41640.0
75960.0,79758.0,0.0,1.0,0.0,0,0.0,45576.0,45576.0
32800.0,34440.0,1.0,0.0,1.0,0,26240.0,0.0,26240.0
59730.0,62716.5,0.0,1.0,0.0,0,0.0,35838.0,35838.0
4320.0,4536.0,1.0,0.0,1.0,0,3456.0,0.0,3456.0
5600.0,5880.0,1.0,0.0,1.0,0,4480.0,0.0,4480.0
60320.0,63336.0,0.0,1.0,0.0,0,0.0,36192.0,36192.0
44190.0,46399.5,1.0,0.0,1.0,0,35352.0,0.0,35352.0
51660.0,54243.0,1.0,0.0,1.0,0,41328.0,0.0,41328.0
70400.0,73920.0,0.0,1.0,0.0,0,0.0,42240.0,42240.0
39800.0,41790.0,1.0,0.0,1.0,0,31840.0,0.0,31840.0
89400.0,93870.0,0.0,1.0,0.0,0,0.0,53640.0,53640.0
4680.0,4914.0,1.0,0.0,1.0,0,3744.0,0.0,3744.0
68200.0,71610.0,0.0,1.0,0.0,0,0.0,40920.0,40920.0
84500.0,88725.0,0.0,1.0,0.0,0,0.0,50700.0,50700.0
66550.0,69877.5,0.0,1.0,0.0,0,0.0,39930.0,39930.0
81120.0,85176.0,0.0,1.0,0.0,0,0.0,48672.0,48672.0
30100.0,31605.0,1.0,0.0,1.0,0,24080.0,0.0,24080.0
88400.0,92820.0,0.0,1.0,0.0,0,0.0,53040.0,53040.0
74360.0,78078.0,0.0,1.0,0.0,0,0.0,44616.0,44616.0
62900.0,66045.0,0.0,1.0,0.0,0,0.0,37740.0,37740.0
3190.0,3349.5,1.0,0.0,1.0,0,2552.0,0.0,2552.0
53460.0,56133.0,1.0,0.0,1.0,0,42768.0,0.0,42768.0
37530.0,39406.5,1.0,0.0,1.0,0,30024.0,0.0,30024.0
80080.0,84084.0,0.0,1.0,0.0,0,0.0,48048.0,48048.0
44200.0,46410.0,1.0,0.0,1.0,0,35360.0,0.0,35360.0
46200.0,48510.0,1.0,0.0,1.0,0,36960.0,0.0,36960.0
69100.0,72555.0,0.0,1.0,0.0,0,0.0,41460.0,41460.0
64200.0,67410.0,0.0,1.0,0.0,0,0.0,38520.0,38520.0
60390.0,63409.5,0.0,1.0,0.0,0,0.0,36234.0,36234.0
45100.0,47355.0,1.0,0.0,1.0,0,36080.0,0.0,36080.0
40810.0,42850.5,1.0,0.0,1.0,0,32648.0,0.0,32648.0
58300.0,61215.0,0.0,1.0,0.0,0,0.0,34980.0,34980.0
67200.0,70560.0,0.0,1.0,0.0,0,0.0,40320.0,40320.0
54160.0,56868.0,1.0,0.0,1.0,0,43328.0,0.0,43328.0
37840.0,39732.0,1.0,0.0,1.0,0,30272.0,0.0,30272.0
39480.0,41454.0,1.0,0.0,1.0,0,31584.0,0.0,31584.0
48360.0,50778.0,1.0,0.0,1.0,0,38688.0,0.0,38688.0
4700.0,4935.0,1.0,0.0,1.0,0,3760.0,0.0,3760.0
4900.0,5145.0,1.0,0.0,1.0,0,3920.0,0.0,3920.0
100800.0,105840.0,0.0,1.0,0.0,0,0.0,60480.0,60480.0
70290.0,73804.5,0.0,1.0,0.0,0,0.0,42174.0,42174.0
50800.0,53340.0,1.0,0.0,1.0,0,40640.0,0.0,40640.0
68300.0,71715.0,0.0,1.0,0.0,0,0.0,40980.0,40980.0
51260.0,53823.0,1.0,0.0,1.0,0,41008.0,0.0,41008.0
47760.0,50148.0,1.0,0.0,1.0,0,38208.0,0.0,38208.0
49390.0,51859.5,1.0,0.0,1.0,0,39512.0,0.0,39512.0
54900.0,57645.0,1.0,0.0,1.0,0,43920.0,0.0,43920.0
56340.0,59157.0,1.0,0.0,1.0,0,45072.0,0.0,45072.0
79500.0,83475.0,0.0,1.0,0.0,0,0.0,47700.0,47700.0
66840.0,70182.0,0.0,1.0,0.0,0,0.0,40104.0,40104.0
7280.0,7644.0,1.0,0.0,1.0,0,5824.0,0.0,5824.0
55200.0,57960.0,1.0,0.0,1.0,0,44160.0,0.0,44160.0
64400.0,67620.0,0.0,1.0,0.0,0,0.0,38640.0,38640.0
63030.0,66181.5,0.0,1.0,0.0,0,0.0,37818.0,37818.0
31680.0,33264.0,1.0,0.0,1.0,0,25344.0,0.0,25344.0
55000.0,57750.0,1.0,0.0,1.0,0,44000.0,0.0,44000.0
8760.0,9198.0,1.0,0.0,1.0,0,7008.0,0.0,7008.0
