input,calculate_claim_value,low_value_claims,high_value_claims,simple_claims,complex_claims,calculate_simple_claim_payout,calculate_complex_claim_payout,output
90750.0,95287.5,0.0,1.0,0.0,0.0,0.0,54450.0,54450.0
6480.0,6804.0,1.0,0.0,1.0,0.0,5184.0,0.0,5184.0
93420.0,98091.0,0.0,1.0,0.0,0.0,0.0,56052.0,56052.0
4200.0,4410.0,1.0,0.0,1.0,0.0,3360.0,0.0,3360.0
122760.0,128898.0,0.0,1.0,0.0,0.0,0.0,73656.0,73656.0
46050.0,48352.5,1.0,0.0,1.0,0.0,36840.0,0.0,36840.0
135600.0,142380.0,0.0,1.0,0.0,0.0,0.0,81360.0,81360.0
129090.0,135544.5,0.0,1.0,0.0,0.0,0.0,77454.0,77454.0
79650.0,83632.5,0.0,1.0,0.0,0.0,0.0,47790.0,47790.0
95700.0,100485.0,0.0,1.0,0.0,0.0,0.0,57420.0,57420.0
7350.0,7717.5,1.0,0.0,1.0,0.0,5880.0,0.0,5880.0
60240.0,63252.0,0.0,1.0,0.0,0.0,0.0,36144.0,36144.0
93960.0,98658.0,0.0,1.0,0.0,0.0,0.0,56376.0,56376.0
76890.0,80734.5,0.0,1.0,0.0,0.0,0.0,46134.0,46134.0
95850.0,100642.5,0.0,1.0,0.0,0.0,0.0,57510.0,57510.0
118635.0,124566.75,0.0,1.0,0.0,0.0,0.0,71181.0,71181.0
108180.0,113589.0,0.0,1.0,0.0,0.0,0.0,64908.0,64908.0
43200.0,45360.0,1.0,0.0,1.0,0.0,34560.0,0.0,34560.0
103140.0,108297.0,0.0,1.0,0.0,0.0,0.0,61884.0,61884.0
64350.0,67567.5,0.0,1.0,0.0,0.0,0.0,38610.0,38610.0
89595.0,94074.75,0.0,1.0,0.0,0.0,0.0,53757.0,53757.0
106200.0,111510.0,0.0,1.0,0.0,0.0,0.0,63720.0,63720.0
109260.0,114723.0,0.0,1.0,0.0,0.0,0.0,65556.0,65556.0
91260.0,95823.0,0.0,1.0,0.0,0.0,0.0,54756.0,54756.0
69300.0,72765.0,0.0,1.0,0.0,0.0,0.0,41580.0,41580.0
105765.0,111053.25,0.0,1.0,0.0,0.0,0.0,63459.0,63459.0
103620.0,108801.0,0.0,1.0,0.0,0.0,0.0,62172.0,62172.0
70950.0,74497.5,0.0,1.0,0.0,0.0,0.0,42570.0,42570.0
128535.0,134961.75,0.0,1.0,0.0,0.0,0.0,77121.0,77121.0
114900.0,120645.0,0.0,1.0,0.0,0.0,0.0,68940.0,68940.0
90600.0,95130.0,0.0,1.0,0.0,0.0,0.0,54360.0,54360.0
102870.0,108013.5,0.0,1.0,0.0,0.0,0.0,61722.0,61722.0
106350.0,111667.5,0.0,1.0,0.0,0.0,0.0,63810.0,63810.0
74085.0,77789.25,0.0,1.0,0.0,0.0,0.0,44451.0,44451.0
98700.0,103635.0,0.0,1.0,0.0,0.0,0.0,59220.0,59220.0
105750.0,111037.5,0.0,1.0,0.0,0.0,0.0,63450.0,63450.0
78975.0,82923.75,0.0,1.0,0.0,0.0,0.0,47385.0,47385.0
