input,calculate_claim_value,low_value_claims,high_value_claims,simple_claims,complex_claims,calculate_simple_claim_payout,calculate_complex_claim_payout,output
77000.0,80850.0,0.0,1.0,0.0,0.0,0.0,46200.0,46200.0
63250.0,66412.5,0.0,1.0,0.0,0.0,0.0,37950.0,37950.0
99990.0,104989.5,0.0,1.0,0.0,0.0,0.0,59994.0,59994.0
24200.0,25410.0,1.0,0.0,0.0,1.0,0.0,14520.0,14520.0
52650.0,55282.5,1.0,0.0,0.0,1.0,0.0,31590.0,31590.0
3200.0,3360.0,1.0,0.0,1.0,0.0,2560.0,0.0,2560.0
77440.0,81312.0,0.0,1.0,0.0,0.0,0.0,46464.0,46464.0
31680.0,33264.0,1.0,0.0,0.0,1.0,0.0,19008.0,19008.0
59400.0,62370.0,0.0,1.0,0.0,0.0,0.0,35640.0,35640.0
60170.0,63178.5,0.0,1.0,0.0,0.0,0.0,36102.0,36102.0
70400.0,73920.0,0.0,1.0,0.0,0.0,0.0,42240.0,42240.0
5330.0,5596.5,1.0,0.0,1.0,0.0,4264.0,0.0,4264.0
30100.0,31605.0,1.0,0.0,0.0,1.0,0.0,18060.0,18060.0
64200.0,67410.0,0.0,1.0,0.0,0.0,0.0,38520.0,38520.0
82400.0,86520.0,0.0,1.0,0.0,0.0,0.0,49440.0,49440.0
52030.0,54631.5,1.0,0.0,0.0,1.0,0.0,31218.0,31218.0
81070.0,85123.5,0.0,1.0,0.0,0.0,0.0,48642.0,48642.0
35900.0,37695.0,1.0,0.0,0.0,1.0,0.0,21540.0,21540.0
76400.0,80220.0,0.0,1.0,0.0,0.0,0.0,45840.0,45840.0
77110.0,80965.5,0.0,1.0,0.0,0.0,0.0,46266.0,46266.0
80740.0,84777.0,0.0,1.0,0.0,0.0,0.0,48444.0,48444.0
54340.0,57057.0,1.0,0.0,1.0,0.0,43472.0,0.0,43472.0
91260.0,95823.0,0.0,1.0,0.0,0.0,0.0,54756.0,54756.0
28440.0,29862.0,1.0,0.0,1.0,0.0,22752.0,0.0,22752.0
63800.0,66990.0,0.0,1.0,0.0,0.0,0.0,38280.0,38280.0
68240.0,71652.0,0.0,1.0,0.0,0.0,0.0,40944.0,40944.0
61490.0,64564.5,0.0,1.0,0.0,0.0,0.0,36894.0,36894.0
48000.0,50400.0,1.0,0.0,1.0,0.0,38400.0,0.0,38400.0
40600.0,42630.0,1.0,0.0,1.0,0.0,32480.0,0.0,32480.0
63580.0,66759.0,0.0,1.0,0.0,0.0,0.0,38148.0,38148.0
60940.0,63987.0,0.0,1.0,0.0,0.0,0.0,36564.0,36564.0
40320.0,42336.0,1.0,0.0,0.0,1.0,0.0,24192.0,24192.0
64100.0,67305.0,0.0,1.0,0.0,0.0,0.0,38460.0,38460.0
6160.0,6468.0,1.0,0.0,1.0,0.0,4928.0,0.0,4928.0
58500.0,61425.0,0.0,1.0,0.0,0.0,0.0,35100.0,35100.0
47630.0,50011.5,1.0,0.0,1.0,0.0,38104.0,0.0,38104.0
